Words	raw	percent	mean_valence	sd_valence	mean_degree	sd_degree
Meets temperature target	1	1.28	1	NA	1	NA
messing with nature	1	1.28	-3	NA	2	NA
mimics natural process	1	1.28	0	NA	1	NA
Mimics natural process	1	1.28	2	NA	8	NA
minimal wildfires risk	1	1.28	2	NA	3	NA
misinformation	1	1.28	-3	NA	3	NA
Misinformation	2	2.56	-3	0	2.5	0.707106781186548
mistrust between nations	1	1.28	-2	NA	8	NA
Misuse or politicisation	1	1.28	-3	NA	4	NA
money diverted	1	1.28	-3	NA	3	NA
Money freed up	1	1.28	2	NA	1	NA
Money in politics	1	1.28	-3	NA	3	NA
Money not important	1	1.28	3	NA	2	NA
money oriented	1	1.28	-2	NA	1	NA
money wasted	1	1.28	-3	NA	1	NA
More acidic ocean	1	1.28	-3	NA	7	NA
more benefits	1	1.28	2	NA	2	NA
more could deploy	1	1.28	1	NA	1	NA
more countries commit	1	1.28	3	NA	1	NA
more funding	1	1.28	0	NA	4	NA
more individual efforts	1	1.28	3	NA	3	NA
More rain?	1	1.28	-2	NA	1	NA
More research funding	1	1.28	3	NA	1	NA
more scientific research	1	1.28	2	NA	2	NA
More taxes	1	1.28	-3	NA	6	NA
more wildlife survives	1	1.28	3	NA	5	NA
move right direction	1	1.28	1	NA	2	NA
Must be consistent	1	1.28	-1	NA	2	NA
Must be Universal	1	1.28	-1	NA	26	NA
nations disagreeing	1	1.28	-2	NA	3	NA
nations working together	1	1.28	-3	NA	5	NA
Natural Chemical Substance	1	1.28	3	NA	1	NA
Nature source	1	1.28	0	NA	1	NA
Nature vs Nurture	1	1.28	-1	NA	2	NA
need more experts	1	1.28	0	NA	3	NA
need multiple solutions	1	1.28	3	NA	1	NA
Needs full agreement	1	1.28	-1	NA	4	NA
negative feelings	72	92.31	-1.3194444444444444	1.30897647240919	5.211538461538462	3.2074456177227
Negative Fellings	1	1.28	-3	NA	2	NA
Negative Politics	1	1.28	-2	NA	2	NA
Negative Side effects	1	1.28	-1	NA	1	NA
nervous	1	1.28	-3	NA	2	NA
new technology	1	1.28	3	NA	2	NA
new technology risks	1	1.28	-2	NA	1	NA
next generation	1	1.28	0	NA	5	NA
no action taken	1	1.28	-3	NA	2	NA
No guarantee	1	1.28	-1	NA	1	NA
no other solution	1	1.28	0	NA	4	NA
No rare metals	1	1.28	0	NA	4	NA
No Summers?	1	1.28	-2	NA	1	NA
Non human factor	1	1.28	0	NA	1	NA
not a solution	1	1.28	-3	NA	1	NA
Not Effective	1	1.28	-3	NA	2	NA
Not enough	1	1.28	-1	NA	1	NA
not enough known	1	1.28	1	NA	1	NA
not enough research	1	1.28	-1	NA	1	NA
not exploring options	1	1.28	-3	NA	3	NA
Not fully proven	1	1.28	-1	NA	26	NA
not fully researched	1	1.28	-1	NA	4	NA
not fully tested	1	1.28	-2	NA	2	NA
not fully understood	1	1.28	0	NA	1	NA
Not helpful	1	1.28	-3	NA	9	NA
not much time	1	1.28	-1	NA	1	NA
Not Much Time	1	1.28	0	NA	6	NA
Not our problem	1	1.28	0	NA	6	NA
Not sure	1	1.28	0	NA	1	NA
not thoroughly studied	1	1.28	-3	NA	2	NA
not work	1	1.28	-2	NA	4	NA
nothing really changes	1	1.28	-3	NA	1	NA
ocean acidity	1	1.28	-1	NA	1	NA
Ocean Acidity	1	1.28	-2	NA	5	NA
Ocean Acidity Unaffected	1	1.28	-1	NA	1	NA
Ocean acidity unresolved	1	1.28	-3	NA	2	NA
ocean level rising	1	1.28	-3	NA	4	NA
Ocean PH Levels	1	1.28	-2	NA	1	NA
ocean water acidity	1	1.28	-2	NA	2	NA
Oceanic photosysthesys	1	1.28	3	NA	2	NA
oceanic problems	1	1.28	-3	NA	3	NA
oceanic temp reduction	1	1.28	3	NA	2	NA
oceans still affected	1	1.28	-3	NA	3	NA
Only emergency solution	1	1.28	-1	NA	1	NA
only one country	1	1.28	0	NA	2	NA
operation team	1	1.28	1	NA	3	NA
optimism	1	1.28	1	NA	2	NA
other considerations	1	1.28	0	NA	2	NA
other weather	1	1.28	-3	NA	2	NA
over-hasty	1	1.28	0	NA	3	NA
Overall implementation	1	1.28	0	NA	6	NA
Ozone depletion	1	1.28	-2	NA	3	NA
Panic	1	1.28	-3	NA	3	NA
parliamentary discussion	1	1.28	0	NA	2	NA
party division	1	1.28	-2	NA	1	NA
passive solution	1	1.28	-2	NA	3	NA
paying for it	1	1.28	-2	NA	4	NA
Peace	1	1.28	1	NA	6	NA
people getting ill	1	1.28	-3	NA	1	NA
People killed	1	1.28	-3	NA	1	NA
perceived benefits	73	93.59	1.1095890410958904	1.17333385222072	4.90566037735849	2.33916611492377
perceived risks	74	94.87	-1.1756756756756757	1.24260120569172	5.555555555555555	3.04473976746328
Pessimism	1	1.28	-1	NA	1	NA
PEST factors	1	1.28	-2	NA	1	NA
photosynthesis	1	1.28	3	NA	3	NA
Pioneering	1	1.28	1	NA	4	NA
Planes	1	1.28	2	NA	3	NA
planes used	1	1.28	0	NA	1	NA
Planetary impact	1	1.28	0	NA	2	NA
Plastic Pollution	1	1.28	2	NA	2	NA
Polar Ice Caps	1	1.28	2	NA	6	NA
Polarised world	1	1.28	-2	NA	7	NA
Polictical Conflict	1	1.28	-3	NA	2	NA
political conflict	1	1.28	-3	NA	5	NA
political conflicts	2	2.56	-2	1.4142135623731	3	1.4142135623731
Political conflicts	1	1.28	-2	NA	24	NA
Political conflicts possible	1	1.28	-3	NA	2	NA
Political consensus	1	1.28	-2	NA	1	NA
political cooperation	1	1.28	1	NA	1	NA
Political gain	1	1.28	-3	NA	1	NA
political harmony	1	1.28	1	NA	1	NA
Political issues	2	2.56	-2.5	0.707106781186548	4.5	0.707106781186548
political leanings	1	1.28	0	NA	1	NA
Political Lethargy	1	1.28	-3	NA	5	NA
political selfishness	1	1.28	-3	NA	3	NA
political social conflicts	1	1.28	-3	NA	1	NA
Political social conflicts	1	1.28	-2	NA	4	NA
political unrest	2	2.56	-2.5	0.707106781186548	1.5	0.707106781186548
Political unrest	1	1.28	-3	NA	4	NA
Political views	1	1.28	0	NA	4	NA
Political/Social Conflict	1	1.28	-2	NA	1	NA
Politicians Decide	1	1.28	-1	NA	3	NA
Poosible internation; unrest	1	1.28	-2	NA	2	NA
positive feelings	72	92.31	1.1111111111111112	1.21673258551891	4.423076923076923	2.63718621474133
Positive Feelings	1	1.28	3	NA	2	NA
Positive Impact	1	1.28	2	NA	2	NA
possible conflicts	1	1.28	-2	NA	1	NA
possible corruption	1	1.28	-2	NA	6	NA
possible future alternatives	1	1.28	0	NA	3	NA
possible reduction	1	1.28	3	NA	1	NA
Possible temperature rise	1	1.28	-3	NA	4	NA
possible weather chages	1	1.28	-3	NA	1	NA
Possibly Ineffective	1	1.28	-2	NA	1	NA
Potential acid rain	1	1.28	-3	NA	2	NA
Potential Acid Rain	1	1.28	-3	NA	4	NA
potential conflicts	1	1.28	-1	NA	3	NA
Potential Disasters?	1	1.28	-3	NA	6	NA
potential pollutant	1	1.28	-3	NA	2	NA
Potential Side effects	1	1.28	-1	NA	5	NA
Potential Side Effects	1	1.28	-2	NA	2	NA
Potential Sollution	1	1.28	3	NA	4	NA
Potential unequal effects	1	1.28	-2	NA	1	NA
Potentially life saving	1	1.28	1	NA	4	NA
potentially positive outcomes	1	1.28	2	NA	3	NA
potentially unsafe	1	1.28	0	NA	1	NA
Poverty	1	1.28	-2	NA	3	NA
Power grabbing politics	1	1.28	-2	NA	2	NA
Pre-existing technology available	1	1.28	2	NA	5	NA
preference for alternatives	1	1.28	0	NA	4	NA
Present Technique	1	1.28	2	NA	1	NA
Preservation	1	1.28	3	NA	2	NA
preservation of glaciers	1	1.28	3	NA	2	NA
Preserve Biodiversity	1	1.28	3	NA	1	NA
prevent climate change	1	1.28	3	NA	10	NA
prevent extinction	1	1.28	2	NA	1	NA
Prevent global catastrophe	1	1.28	3	NA	5	NA
Prevent Sea Level	1	1.28	3	NA	4	NA
prevent warming seas	1	1.28	3	NA	3	NA
Prevents food shortages	1	1.28	3	NA	1	NA
Prevents further warming	1	1.28	3	NA	4	NA
prevents meaningful change	1	1.28	-2	NA	6	NA
proactive	1	1.28	2	NA	2	NA
Productive factor	1	1.28	0	NA	1	NA
prolong human existence	1	1.28	2	NA	5	NA
protects ice caps	1	1.28	2	NA	3	NA
Protects nature	1	1.28	3	NA	2	NA
Protects the planet	1	1.28	3	NA	3	NA
Protests	1	1.28	-2	NA	1	NA
Pulling together	1	1.28	2	NA	2	NA
Quick acting	1	1.28	2	NA	4	NA
Quick fix	1	1.28	1	NA	3	NA
Quick implementation	1	1.28	2	NA	1	NA
quick results	2	2.56	2	0	2.5	0.707106781186548
Quick results	1	1.28	2	NA	24	NA
Quick solution	1	1.28	3	NA	3	NA
quick to deploy	1	1.28	3	NA	1	NA
Quick to deploy	1	1.28	3	NA	1	NA
quickly adopted	1	1.28	2	NA	3	NA
Quickly Reversed?	1	1.28	-3	NA	4	NA
Quickness	1	1.28	3	NA	2	NA
Radiation risks	1	1.28	0	NA	2	NA
Rain Occurences	1	1.28	-3	NA	1	NA
Raising of taxes	1	1.28	-3	NA	1	NA
Rapid changes	1	1.28	-3	NA	24	NA
rapid results	1	1.28	3	NA	2	NA
rapidity	1	1.28	1	NA	3	NA
Rapidly effective technology	1	1.28	1	NA	3	NA
Reduce Carbon Footprint?	1	1.28	0	NA	2	NA
reduce climate change	1	1.28	3	NA	5	NA
Reduce Extinction	1	1.28	3	NA	3	NA
Reduce Extreme Weather	1	1.28	2	NA	1	NA
reduce global warming	1	1.28	3	NA	5	NA
Reduce global warming	1	1.28	3	NA	7	NA
Reduce heating	1	1.28	3	NA	5	NA
Reduce Ice Melting	1	1.28	3	NA	4	NA
Reduce Ocean Height	1	1.28	1	NA	5	NA
Reduce planet heating	1	1.28	2	NA	1	NA
reduce sea melting	1	1.28	3	NA	1	NA
reduce sea rising	1	1.28	2	NA	1	NA
Reduce temperature	1	1.28	1	NA	6	NA
reduce tempreture	1	1.28	1	NA	1	NA
Reduce temps	1	1.28	3	NA	3	NA
Reduce the risk	1	1.28	3	NA	1	NA
Reduce warming	2	2.56	1.5	0.707106781186548	2	1.4142135623731
Reduced global Temperature	1	1.28	2	NA	1	NA
Reduces carbon emissions	1	1.28	-2	NA	5	NA
Reduces environmental damage	1	1.28	1	NA	1	NA
reduces flood risk	1	1.28	2	NA	1	NA
Reduces global warming	1	1.28	3	NA	1	NA
Reduces suns impact	1	1.28	0	NA	4	NA
Reducing Commissions	1	1.28	3	NA	2	NA
Reducing Emissons	1	1.28	2	NA	1	NA
Reducing Global Temperature	1	1.28	1	NA	4	NA
reducing global warming	1	1.28	3	NA	1	NA
Reducing Temperature Fast	1	1.28	3	NA	2	NA
Reduction Fossil Fuels	1	1.28	2	NA	3	NA
reduction in temperature	1	1.28	2	NA	2	NA
reduction of CO2	1	1.28	3	NA	3	NA
regulation	1	1.28	-1	NA	2	NA
Regulation	1	1.28	1	NA	1	NA
Rejecting Science	1	1.28	-3	NA	3	NA
rejection of SAI	1	1.28	0	NA	3	NA
Relative low cost	1	1.28	2	NA	1	NA
relatively cheap	1	1.28	3	NA	2	NA
Relatively inexpensive	1	1.28	2	NA	1	NA
Relatively low cost	1	1.28	3	NA	2	NA
relaxed approach	1	1.28	-2	NA	1	NA
relieved	1	1.28	1	NA	2	NA
Repeated Use Needed	1	1.28	0	NA	1	NA
Repopulation	1	1.28	3	NA	2	NA
requires further research	1	1.28	-2	NA	4	NA
requires global effort	1	1.28	-2	NA	3	NA
Requires much planning	1	1.28	0	NA	2	NA
research	2	2.56	1.5	2.12132034355964	2	0
Research	1	1.28	-2	NA	1	NA
resolves problem	1	1.28	2	NA	2	NA
Resource intensive	1	1.28	-1	NA	3	NA
Responsibility	3	3.85	-0.6666666666666666	1.15470053837925	7	2.64575131106459
reversable?	1	1.28	0	NA	1	NA
Reverse Global Warming	1	1.28	3	NA	1	NA
Rich v Poor?	1	1.28	-2	NA	1	NA
rising prices	1	1.28	-3	NA	4	NA
risk management	1	1.28	0	NA	1	NA
Risk of death	1	1.28	-3	NA	1	NA
Risk of inaction	1	1.28	1	NA	1	NA
Risk of inertia	1	1.28	-3	NA	3	NA
Risk to future	1	1.28	-2	NA	3	NA
Risk to life	1	1.28	-2	NA	12	NA
Risks	1	1.28	0	NA	7	NA
risks temperature rise	1	1.28	-3	NA	2	NA
rocking the boat	1	1.28	-2	NA	2	NA
Root Cause	1	1.28	-2	NA	1	NA
Rules	1	1.28	2	NA	2	NA
Safe for environment	1	1.28	2	NA	1	NA
safeguards	1	1.28	0	NA	1	NA
safer	1	1.28	3	NA	2	NA
SAI	1	1.28	-2	NA	4	NA
SAI Misuse	1	1.28	-3	NA	1	NA
save animals	1	1.28	3	NA	3	NA
Save Coral Reefs	1	1.28	1	NA	3	NA
save earth	1	1.28	2	NA	1	NA
save ice caps	1	1.28	3	NA	3	NA
Save ice caps	1	1.28	3	NA	3	NA
Save life	1	1.28	1	NA	1	NA
Save the planet?	1	1.28	2	NA	4	NA
save the world	1	1.28	3	NA	2	NA
Saves animals	1	1.28	3	NA	3	NA
saves ice caps	1	1.28	1	NA	1	NA
saves planet	1	1.28	1	NA	1	NA
Saves time	1	1.28	1	NA	1	NA
Saving the Climate	1	1.28	3	NA	2	NA
Saving the planet	1	1.28	3	NA	5	NA
Scalable	1	1.28	2	NA	2	NA
Sceptics	1	1.28	-2	NA	1	NA
scientific advancement	1	1.28	1	NA	4	NA
Scientific Breakthrough	1	1.28	2	NA	2	NA
Scientific Community	1	1.28	0	NA	2	NA
Scientist team	1	1.28	2	NA	1	NA
scientists opinons	1	1.28	3	NA	6	NA
self centered	1	1.28	-2	NA	1	NA
sense of control	1	1.28	0	NA	6	NA
Set Goals	1	1.28	-2	NA	1	NA
short-termism	1	1.28	-3	NA	1	NA
Side affects	1	1.28	-3	NA	5	NA
side effects	4	5.13	-2.25	1.5	1.5	0.577350269189626
Side effects	2	2.56	-3	0	6.5	0.707106781186548
Side Effects	1	1.28	-2	NA	2	NA
Side effects unknown	1	1.28	-3	NA	1	NA
side effects unsure	1	1.28	-1	NA	2	NA
Sideline, distraction	1	1.28	-3	NA	4	NA
Size of commitment	1	1.28	-1	NA	1	NA
slows environmental change	1	1.28	3	NA	4	NA
smelly	1	1.28	-1	NA	1	NA
Social Backlash	1	1.28	-2	NA	1	NA
social conflicts	1	1.28	-1	NA	1	NA
Social conflicts	1	1.28	-2	NA	23	NA
Social Conflicts	1	1.28	-3	NA	1	NA
Social impact	1	1.28	0	NA	4	NA
Social media	1	1.28	0	NA	4	NA
Social Project	1	1.28	1	NA	1	NA
social unrest	1	1.28	-1	NA	1	NA
Socially divisive	1	1.28	-2	NA	2	NA
Solar energy	1	1.28	3	NA	5	NA
Solar Energy	2	2.56	0.5	2.12132034355964	1	0
Solution	1	1.28	1	NA	1	NA
Solves current issues	1	1.28	3	NA	6	NA
Something is happening	1	1.28	1	NA	1	NA
Source of food	1	1.28	-3	NA	5	NA
sourcing sulfur	1	1.28	0	NA	2	NA
Species die out	1	1.28	-3	NA	3	NA
Species extinction	1	1.28	-3	NA	4	NA
spread of viruses	1	1.28	-3	NA	1	NA
Stabilize Global Temperature	1	1.28	3	NA	6	NA
Start needed immediately	1	1.28	0	NA	3	NA
Start now	1	1.28	3	NA	2	NA
Start of Movement	1	1.28	2	NA	5	NA
Start of wars	1	1.28	-3	NA	4	NA
Start soon	1	1.28	2	NA	1	NA
Starvation	1	1.28	-2	NA	2	NA
stop-gap emergency measure	1	1.28	0	NA	7	NA
Stopping	1	1.28	-3	NA	24	NA
stops behaviour change	1	1.28	-2	NA	3	NA
Stops icecaps melting	1	1.28	3	NA	3	NA
Sub Groups	1	1.28	1	NA	2	NA
Sulfur Impact	1	1.28	0	NA	2	NA
sulfur maintenance replacement	1	1.28	0	NA	2	NA
sulfur particles	1	1.28	0	NA	3	NA
Sulfuric acid	1	1.28	-3	NA	4	NA
sulphur	1	1.28	-2	NA	3	NA
Sulphur Mining Danger	1	1.28	-3	NA	2	NA
Sulphur mining polution	1	1.28	-3	NA	2	NA
suspicious	1	1.28	-3	NA	5	NA
sustaniblity	1	1.28	1	NA	1	NA
tackle climate change	1	1.28	2	NA	5	NA
Takes effect quickly	1	1.28	2	NA	2	NA
taking action	2	2.56	1.5	0.707106781186548	2	1.4142135623731
team investment	1	1.28	0	NA	1	NA
team structure	1	1.28	0	NA	1	NA
Tech Development	1	1.28	-1	NA	1	NA
Tech improvement	1	1.28	2	NA	3	NA
technologies	1	1.28	3	NA	4	NA
Temperature	1	1.28	3	NA	1	NA
temperature decrease	1	1.28	3	NA	1	NA
temperature increase	1	1.28	-1	NA	1	NA
Temperature reduction	1	1.28	3	NA	3	NA
temperature reductions	1	1.28	3	NA	2	NA
Temperature Rising	1	1.28	-3	NA	3	NA
temperatures may rise	1	1.28	-1	NA	2	NA
temporary	1	1.28	-1	NA	2	NA
Terrestrial imapct	1	1.28	-3	NA	5	NA
testing new technology	1	1.28	0	NA	2	NA
the unknowns	1	1.28	0	NA	2	NA
things going wrong	1	1.28	-2	NA	1	NA
This could work	1	1.28	1	NA	2	NA
time frame	1	1.28	-1	NA	1	NA
Time Limited	1	1.28	-2	NA	4	NA
time scale	1	1.28	-3	NA	1	NA
Time to Make	1	1.28	-1	NA	1	NA
timelag	1	1.28	-3	NA	1	NA
Tine Constraints?	1	1.28	0	NA	1	NA
Too late	1	1.28	-3	NA	1	NA
Too late?	2	2.56	-1.5	2.12132034355964	4	2.82842712474619
Too little	1	1.28	-3	NA	1	NA
too many unknowns	1	1.28	-2	NA	1	NA
Too risky	1	1.28	-2	NA	1	NA
treats symptoms	1	1.28	-2	NA	2	NA
Treats Symptoms	1	1.28	-2	NA	2	NA
trial runs	1	1.28	0	NA	2	NA
Trust	1	1.28	2	NA	27	NA
trust in governments	1	1.28	-2	NA	4	NA
trust in policitical institutions	74	94.87	-0.527027027027027	1.11309728276704	4.351851851851852	2.45070192030086
Trust is low	1	1.28	-3	NA	6	NA
trying something new	1	1.28	1	NA	2	NA
UN	1	1.28	0	NA	1	NA
Unable to eat	1	1.28	-3	NA	1	NA
unacceptable natural interference	1	1.28	-3	NA	4	NA
Unbreathable Air	1	1.28	-1	NA	2	NA
uncertainty	2	2.56	-1.5	0.707106781186548	3.5	2.12132034355964
Unequal Coverage	1	1.28	-1	NA	2	NA
unforeseen factors	1	1.28	-3	NA	1	NA
Unforseen side-effects	1	1.28	-3	NA	1	NA
unhealthy planet	1	1.28	-3	NA	3	NA
United Front	1	1.28	1	NA	1	NA
united world	1	1.28	2	NA	4	NA
Unknown	2	2.56	-2.5	0.707106781186548	4	4.24264068711928
Unknown Climate risks	1	1.28	-3	NA	1	NA
unknown concept	1	1.28	-2	NA	1	NA
unknown consequences	1	1.28	-3	NA	1	NA
Unknown consequences	1	1.28	-3	NA	2	NA
Unknown Consequences	1	1.28	-2	NA	1	NA
Unknown Effects	2	2.56	-1.5	0.707106781186548	2	1.4142135623731
unknown outcomes	2	2.56	-2	1.4142135623731	7	0
unknown results	1	1.28	-1	NA	1	NA
Unknown side effects	1	1.28	-3	NA	4	NA
unknown technology	1	1.28	0	NA	1	NA
unknown wind-down strategy	1	1.28	-3	NA	2	NA
Unkown	1	1.28	-2	NA	6	NA
Unkown factor	1	1.28	0	NA	4	NA
unkown side effect	1	1.28	-3	NA	6	NA
Unpredictable weather	1	1.28	-2	NA	4	NA
unreduced ocean acidity	1	1.28	-2	NA	1	NA
unresolved side-effects	1	1.28	-3	NA	2	NA
unsafe	1	1.28	-3	NA	4	NA
Unsure of effectiveness	1	1.28	-1	NA	1	NA
unsustainable	1	1.28	-1	NA	1	NA
untested	3	3.85	-1.3333333333333333	1.52752523165195	2.3333333333333335	2.3094010767585
Untested	1	1.28	-2	NA	6	NA
Untested solution	1	1.28	-2	NA	1	NA
Untested technolgoy	1	1.28	-3	NA	3	NA
untested technology	1	1.28	-3	NA	3	NA
Use of chemicals	1	1.28	-3	NA	6	NA
Use sulfur	1	1.28	0	NA	11	NA
use without agreement	1	1.28	-3	NA	5	NA
Uses existing technology	1	1.28	1	NA	6	NA
Value for money	1	1.28	0	NA	26	NA
very effective	1	1.28	3	NA	1	NA
Very effective Technique	1	1.28	3	NA	4	NA
Very Effective Technique	1	1.28	3	NA	1	NA
vested interests	1	1.28	0	NA	3	NA
Viewed as unimportant	1	1.28	-3	NA	2	NA
Volcanic Eruptions	1	1.28	1	NA	2	NA
Volcanoes	1	1.28	2	NA	25	NA
Voting Against SAI	1	1.28	-3	NA	1	NA
war	2	2.56	-2.5	0.707106781186548	2	1.4142135623731
War	3	3.85	-3	0	2.3333333333333335	1.52752523165195
Warfare threat	1	1.28	-1	NA	1	NA
Warming world natural	1	1.28	-2	NA	1	NA
Wars	1	1.28	-3	NA	2	NA
waste	1	1.28	-3	NA	2	NA
waste of tax	1	1.28	-3	NA	1	NA
Waste of time	1	1.28	0	NA	1	NA
water level stabilized	1	1.28	3	NA	4	NA
we need hope	1	1.28	2	NA	1	NA
weak implementation	1	1.28	-3	NA	4	NA
Weather	1	1.28	-2	NA	2	NA
Weather balloons	1	1.28	2	NA	3	NA
weather could affect	1	1.28	-2	NA	2	NA
weather instability	1	1.28	-2	NA	2	NA
weathering	1	1.28	-3	NA	1	NA
weird weather	1	1.28	-2	NA	1	NA
What cost?	1	1.28	0	NA	3	NA
when to implement	1	1.28	0	NA	1	NA
Which country	1	1.28	0	NA	4	NA
who owns technology	1	1.28	0	NA	2	NA
who pays	2	2.56	-1	1.4142135623731	1	0
who pays?	1	1.28	-2	NA	1	NA
Who pays?	1	1.28	0	NA	4	NA
Who Pays?	1	1.28	-2	NA	6	NA
Who performs it?	1	1.28	0	NA	1	NA
who profits	1	1.28	-2	NA	3	NA
Who Runs it?	1	1.28	0	NA	8	NA
who should pay	1	1.28	0	NA	3	NA
who takes charge?	1	1.28	-2	NA	3	NA
Who will Pay	1	1.28	0	NA	4	NA
will it work	1	1.28	0	NA	2	NA
Will it work?	2	2.56	0.5	0.707106781186548	4	2.82842712474619
Wind Farms	1	1.28	3	NA	1	NA
Won't Reverse Damage	1	1.28	-2	NA	1	NA
works immediately	1	1.28	1	NA	1	NA
world awareness	1	1.28	3	NA	1	NA
World Coming together	1	1.28	0	NA	3	NA
World Leaders	1	1.28	2	NA	3	NA
World peace	1	1.28	3	NA	3	NA
World temperature rises	1	1.28	-3	NA	1	NA
Worse no action	1	1.28	0	NA	4	NA
worsened ozone depletion	1	1.28	-3	NA	1	NA
worsens problem	1	1.28	-2	NA	2	NA
Would countries cooperate?	1	1.28	-2	NA	2	NA
Would they agree?	1	1.28	-2	NA	2	NA
Would they?	1	1.28	-2	NA	3	NA
wouldn't commit	1	1.28	-3	NA	4	NA
